Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
1.070479137472531095e+00 7.330084222562273377e-02 3.861750004245617873e+01 4.436127055905103589e-01 2.135542816766388963e-01 3.301527751810414202e+01
1.061837384928367989e+00 7.618124147630775389e-02 4.258037708635122698e+01 4.850559860403602097e-01 2.098285466092098261e-01 3.086140350340752292e+01
1.061837384928367989e+00 7.618124147630775389e-02 4.258037708635122698e+01 4.850559860403602097e-01 2.098285466092098261e-01 3.086140350340752292e+01
1.085432892756525769e+00 6.155532129299896155e-02 3.982595065692032676e+01 4.242756617001793851e-01 2.029229970845582431e-01 3.254386120020430440e+01
1.141378566550346862e+00 9.835189279917500027e-03 3.962123280661193547e+01 4.994279120139159533e-01 3.471714132043348111e-01 3.445572954372980234e+01
1.141378566550346862e+00 9.835189279917500027e-03 3.962123280661193547e+01 4.994279120139159533e-01 3.471714132043348111e-01 3.445572954372980234e+01
1.163428691334742249e+00 3.978609823902571480e-02 4.062577162935785680e+01 4.704977026820496566e-01 3.534897959036762405e-01 3.397940164128027618e+01
1.163428691334742249e+00 3.978609823902571480e-02 4.062577162935785680e+01 4.704977026820496566e-01 3.534897959036762405e-01 3.397940164128027618e+01
1.163234587602568038e+00 0.000000000000000000e+00 4.266782895394631225e+01 4.993374978938584507e-01 3.577338839467876785e-01 3.161005191070103493e+01
1.127776890891865724e+00 8.359342750823253905e-04 3.804568530464939613e+01 4.649241541096144625e-01 3.446768678276487252e-01 3.372892323976832074e+01
1.089781931397665327e+00 6.218927996498486988e-02 3.732874761584793077e+01 1.801839387638504708e-01 3.171780616994123170e-01 3.281981163991822825e+01
1.089781931397665327e+00 6.218927996498486988e-02 3.732874761584793077e+01 1.801839387638504708e-01 3.171780616994123170e-01 3.281981163991822825e+01
1.103196383340510067e+00 3.965172464006125330e-02 3.358282231775608295e+01 1.956036934524266468e-01 3.579797387046110835e-01 3.214162823840589311e+01
9.749000423803694249e-01 4.948203008558194754e-02 3.334851246146157422e+01 3.882176148513580283e-01 3.587473281300866956e-01 3.958217346274282278e+01
1.170063610163121881e+00 5.449111537228525787e-02 3.224449857371060091e+01 3.478505411419582360e-01 2.676042974917393069e-01 3.416049955371595104e+01
1.170063610163121881e+00 5.449111537228525787e-02 3.224449857371060091e+01 3.478505411419582360e-01 2.676042974917393069e-01 3.416049955371595104e+01
9.826531094211816697e-01 1.224193381505920553e-01 5.200000000000000000e+01 2.732430204661430162e-01 3.444499848487386773e-01 2.280175202268166146e+01
1.033666432116260081e+00 7.672661969096349066e-02 4.731413519827922443e+01 2.897649909659348322e-01 3.381133938102450776e-01 2.575568077988218363e+01
9.727199369945793705e-01 1.007818629261603566e-01 5.200000000000000000e+01 2.620711927331708102e-01 3.925244975267838110e-01 2.313157468659857585e+01
9.727199369945793705e-01 1.007818629261603566e-01 5.200000000000000000e+01 2.620711927331708102e-01 3.925244975267838110e-01 2.313157468659857585e+01
1.054395756961320263e+00 1.246652018463033501e-01 4.725166231114945248e+01 5.813003682085554624e-01 2.988846275348045478e-01 2.218822580839802328e+01
1.054395756961320263e+00 1.246652018463033501e-01 4.725166231114945248e+01 5.813003682085554624e-01 2.988846275348045478e-01 2.218822580839802328e+01
1.024719901237031161e+00 1.515793970838222038e-01 4.303896475380906850e+01 2.681435234902863063e-01 2.113795283599591568e-01 3.237250956635711674e+01
1.066081603718045390e+00 1.581376563154324177e-01 4.183317597181977732e+01 3.187455267989885432e-01 1.923379325718282129e-01 3.056181586080757739e+01
9.190888809318078501e-01 2.351968777731145710e-01 4.489856348085510263e+01 2.466402199594953937e-01 2.831448650547075396e-01 3.138108589339690724e+01
9.190888809318078501e-01 2.351968777731145710e-01 4.489856348085510263e+01 2.466402199594953937e-01 2.831448650547075396e-01 3.138108589339690724e+01
9.193542863703534351e-01 2.530693970655166769e-01 4.748314650233027834e+01 2.680408090293129320e-01 2.912062280440564366e-01 2.978591411879504491e+01
1.168727460590329503e+00 1.371126031652962207e-01 5.060166150735363289e+01 1.770181498130717346e-01 2.304266925813847067e-01 3.023180618718905421e+01
1.168727460590329503e+00 1.371126031652962207e-01 5.060166150735363289e+01 1.770181498130717346e-01 2.304266925813847067e-01 3.023180618718905421e+01
1.152097823477606919e+00 2.001413802372008222e-01 5.193907346099239675e+01 1.837998641399472000e-01 2.408074410361759621e-01 3.063735792030599825e+01
1.140476101358474104e+00 1.341533658439399979e-01 4.837532341277919556e+01 2.879236195826831435e-01 3.079391768546849151e-01 2.797381981739173540e+01
